date,births,deaths,rebalance,n_comm,r_comm,r_eq,r_full,cum_comm,cum_eq,cum_full,act_vs_eq,act_vs_full
2015-12-31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",[],True,12,-0.07058694356774561,-0.07790306453787965,-0.09426933546515273,-0.07058694356774564,-0.07790306453787965,-0.0942693354651527,0.00731612097013401,0.023682391897407062
2016-02-02,"[12, 13, 14]",[],"[12, 13, 14]",15,0.03057624386990407,0.08732417435565462,0.03275271219086817,-0.04216898329840024,0.0026182890272292703,-0.0646041996871991,-0.04478727232562951,0.022435216388798862
2016-03-03,"[15, 16]",[],"[15, 16]",17,0.05059715170166565,0.04293849988180448,0.04486287231407857,0.0062945379582113326,0.04566921431212001,-0.022639657334640684,-0.03937467635390868,0.028934195292852016
2016-04-04,[17],[],[17],18,-0.019531359035067763,0.0030929056472030233,-0.030273913811623268,-0.013359761957678074,0.04890337053017246,-0.0522281801113903,-0.06226313248785054,0.038868418153712225
2016-05-03,[18],[],[18],19,-0.004168796920519647,0.023374007006371475,0.03916316088091425,-0.017472864743689698,0.07342044526195135,-0.015110439850695823,-0.09089331000564105,-0.002362424892993875
2016-06-02,[],[],[],19,0.03232281515513196,0.011763910572677394,0.03341428254640137,0.014285178234101359,0.08604806738689663,0.01779893818913414,-0.07176288915279527,-0.0035137599550327803
2016-07-01,[],[],[],19,0.02411222280466122,0.024757708020194395,0.02816361854937441,0.03874184843914752,0.11293612833515776,0.046463839244251126,-0.07419427989601024,-0.007721990805103607
2016-08-02,"[19, 20]",[14],"[19, 20]",20,-0.021259961578217093,0.0065842666460152926,-0.010600884554284262,0.01665823665164501,0.12026399656410014,0.03537039689418986,-0.10360575991245513,-0.01871216024254485
2016-08-31,[],[],[],20,0.006626152463104667,0.007600784782304006,0.034813896946192184,0.023394769130569815,0.1287788821013478,0.07141567519280234,-0.10538411297077799,-0.04802090606223253
2016-09-30,"[21, 22]",[2],"[21, 22]",21,-0.025712260548177886,-0.022413593461609753,-0.022165576073091612,-0.0029190238169577443,0.10347889112987785,0.047667129538413455,-0.10639791494683559,-0.0505861533553712
2016-10-31,[],[10],[10],20,0.035844273428812634,0.030757188654613368,0.02502489969180189,0.03282061932401459,0.1374187995607432,0.07388489436551016,-0.10459818023672862,-0.04106427504149557
2016-11-30,"[23, 24, 25]",[],"[23, 24, 25]",23,0.01712487075020696,0.01714272629243953,-0.0013516568326125706,0.050507538938087126,0.1569172587214882,0.0724333705106015,-0.10640971978340108,-0.021925831572514376
2016-12-30,[],[15],[15],22,0.042594048706129775,0.03961020995460879,0.06786242255690128,0.09525290821777266,0.20274299423955666,0.1452112970643138,-0.107490086021784,-0.049958388846541135
2017-02-01,[26],[3],[26],22,0.04917742867980938,0.03854415958759067,0.000368582364550743,0.14911462999800595,0.24910171215238264,0.14563340175209594,-0.09998708215437668,0.0034812282459100174
2017-03-03,"[27, 28]",[18],"[27, 28]",23,0.0065783558737099145,-0.006498872096049851,0.023529583054498964,0.15667391497381922,0.24098395989014754,0.17258967802863023,-0.08431004491632832,-0.015915763054811016
2017-04-03,[29],[],[29],24,0.02724847275807106,0.009647612757960868,0.01671502233893997,0.1881915126359548,0.25295649257400843,0.19218954069128924,-0.06476497993805364,-0.003998028055334446
2017-05-03,[30],"[16, 22]",[30],23,0.06783395842278431,0.030669342764706033,0.06228533326122514,0.26879124630240736,0.29138384471402445,0.26644546354379317,-0.022592598411617093,0.00234578275861419
2017-06-02,[],[8],[8],22,-0.02139288368742502,0.004837187324287795,-0.07047829546951893,0.24164814274663704,0.2976305102784653,0.17718854596812195,-0.05598236753182828,0.0644595967785151
2017-07-03,[],"[13, 12]","[13, 12]",20,0.021793686778486636,0.017780463941330593,0.022350310426952274,0.26870823345874695,0.320702982775642,0.20349907540156198,-0.05199474931689507,0.06520915805718497
2017-08-02,"[31, 32, 33, 34]","[25, 26]","[31, 32, 33, 34]",22,0.006542706267771587,0.0004691994007251137,0.02116602780484208,0.2770090187697709,0.3213226558236961,0.22897237029461315,-0.044313637053925214,0.04803664847515776
2017-08-31,"[35, 36]",[],"[35, 36]",24,-0.0021601376152609137,0.030578811076608176,0.006420939740242503,0.27425050355329894,0.3617271316873709,0.23686352782669795,-0.08747662813407198,0.03738697572660099
2017-10-02,[37],"[0, 21]",[37],23,0.020462446690834676,0.007278563274066169,0.05268406387208548,0.30032478655302763,0.3716385487773701,0.3020265249277727,-0.07131376222434249,-0.0017017383747450765
2017-10-31,[],[],[],23,0.05854278780987824,0.05006154193597388,0.005636667677443429,0.37644942461612674,0.44030488950798663,0.3093656157560072,-0.06385546489185989,0.06708380886011955
2017-11-30,"[38, 39]","[19, 24]","[38, 39]",23,-0.016447540006398732,0.014253677466661027,-0.006750167134850295,0.3538102176379685,0.46083453085668835,0.30052717900902803,-0.10702431321871986,0.05328303862894046
2018-01-02,"[40, 41, 42, 43]",[11],"[40, 41, 42, 43]",26,0.015190057981017403,0.015087803352428316,0.022019538605428927,0.37437467333918306,0.48287531498869085,0.32916418743462694,-0.10850064164950779,0.04521048590455612
2018-02-01,[44],"[23, 34]",[44],25,0.028859585362958334,-0.027029868258353948,0.022999214834987465,0.41403855654510324,0.4427933905809813,0.3597339201324077,-0.028754834035878085,0.05430463641269556
2018-03-05,[45],"[27, 33]",[45],24,-0.0033151452758036163,0.0061662880992796355,-0.028553521534564703,0.4093508133045687,0.45169007029504016,0.32090872836262885,-0.042339256990471474,0.08844208494193984
2018-04-04,"[46, 47, 48]",[30],"[46, 47, 48]",26,-0.0004948680135255876,-0.006371862105002725,0.0074454244527033244,0.40865337066722796,0.44244010134791845,0.33074345450856923,-0.03378673068069049,0.07790991615865872
2018-05-03,[],"[28, 35, 31]","[28, 35, 31]",23,0.09229389178487976,0.045641394707814247,0.10147883108558273,0.5386634724219952,0.5082750793559183,0.46578574474688916,0.03038839306607688,0.07287772767510603
2018-06-04,[],[39],[39],22,-0.045059657715852366,-0.010635154726464318,-0.0367270041543162,0.46933182301477516,0.49223434051689785,0.4119518256102328,-0.022902517502122688,0.05737999740454236
2018-07-03,[],[],[],22,0.008251768275611193,0.018667045732069117,0.01721805624940171,0.48145640873827444,0.5200899471942906,0.4362628915650353,-0.03863353845601614,0.04519351717323916
2018-08-02,[49],"[44, 1, 42, 41]",[49],19,0.07929207019913051,0.02583954691027242,0.054149437214354265,0.5989241542969013,0.5593683826926508,0.514035718835143,0.0395557716042505,0.08488843546175828
2018-08-31,[],[36],[36],18,-0.03228031392260234,-0.0065698292102206075,-0.025807713703340174,0.5473103806577659,0.549123598742542,0.4749619184668148,-0.0018132180847760804,0.07234846219095115
2018-10-02,[],[],[],18,-0.07797706973687177,-0.05399730768578496,-0.11223304855495506,0.42665565120062965,0.4654750951379305,0.30942244585481915,-0.03881944393730086,0.1172332053458105
2018-10-31,"[50, 51]",[],"[50, 51]",20,-0.002602906504560869,0.01870751044408324,-0.008747843450879677,0.42294219992635096,0.4928904857857672,0.2979678232874132,-0.06994828585941626,0.12497437663893773
2018-11-30,[],[46],[46],19,-0.10039680764576489,-0.10497878717795897,-0.11565838003560774,0.2800833455893037,0.33616865319846334,0.14784696750764703,-0.05608530760915964,0.13223637808165667
2019-01-03,[],[],[],19,0.17048002610572757,0.118770234386124,0.19120667584344414,0.4983119877628752,0.49486571731823625,0.367322970541762,0.003446270444638966,0.13098901722111322
2019-02-04,"[52, 53]",[],"[52, 53]",21,0.01276421348669845,0.015686033243659976,0.0111783117936726,0.5174367618443603,0.5183142306548976,0.3826073330291284,-0.0008774688105372963,0.13482942881523186
2019-03-06,"[54, 55, 56]",[20],"[54, 55, 56]",23,0.02523100623864004,0.03736490830905233,0.01263818687889677,0.5557232182491971,0.5750459026676471,0.40008098288408345,-0.019322684418449976,0.15564223536511368
2019-04-04,[],[29],[29],22,0.02762810333050094,0.022496791840575833,0.02136957842195885,0.5987049000766456,0.6104793824793131,0.430000123244918,-0.011774482402667541,0.16870477683172758
2019-05-06,[],"[50, 40]","[50, 40]",20,0.024482841354658245,-0.024392857537927987,0.021435879674445484,0.6378457385181369,0.571195188334725,0.460653433821238,0.06665055018341182,0.17719230469689884
2019-06-05,[],[],[],20,0.07447535931202601,0.050252525392464685,0.05033215958949439,0.7598248883919456,0.650151714433034,0.5341712755572714,0.10967317395891163,0.22565361283467422
2019-07-05,[],[47],[47],19,-0.00771095308802415,-0.030500817185643507,-0.03492870635923954,0.746254961234418,0.5998207386625358,0.4805846575685515,0.1464342225718822,0.2656703036658665
2019-08-05,[],"[32, 53, 5]","[32, 53, 5]",16,0.03824311226709604,0.02497438625375837,0.0572744696075034,0.8130371857638794,0.6397752797266669,0.5653843585397973,0.17326190603721248,0.2476528272240821
2019-09-04,[57],[],[57],17,-0.04443165994811369,-0.0011520689011141252,-0.046853899064153215,0.7324809340527336,0.6378861456220781,0.49203999780816954,0.0945947884306555,0.24044093624456409
2019-10-03,[58],[38],[58],17,0.05204871335937006,0.048991633878432084,0.026522860516619583,0.8226543375898181,0.7181288640029511,0.531613166555253,0.10452547358686703,0.29104117103456506
2019-11-01,"[59, 60, 61]","[54, 17]","[59, 60, 61]",18,0.03569530433339635,0.030354363474843812,0.026929067892312093,0.8877145388646714,0.7702815720375171,0.5728580815021787,0.11743296682715432,0.3148564573624928
2019-12-03,[62],[],[62],19,0.009483588683979905,0.034321230064129155,0.04025729525204815,0.9056168471040329,0.831039813149705,0.6361770936787818,0.07457703395432791,0.26943975342525106
2020-01-03,[],[49],[49],18,0.126793554212036,0.033933330095483764,0.09925071270051136,1.147236780114687,0.8931730915472869,0.7985688363306522,0.25406368856740014,0.34866794378403476
2020-02-04,[],[],[],18,-0.07292990091002133,-0.07592755145031822,-0.0375616521708468,0.9906390145105697,0.7494290942344721,0.7310116192950755,0.24120992027609756,0.25962739521549416
2020-03-05,[],[52],[52],17,-0.23830695551796793,-0.14463630829607435,-0.21507263955881667,0.5162558914272677,0.49639812841865294,0.3587183812263022,0.01985776300861475,0.1575375102009655
2020-04-03,"[63, 64, 65, 66, 67]",[],"[63, 64, 65, 66, 67]",22,0.2057053894520133,0.13694125008411218,0.19351657012183582,0.8281579000822235,0.7013167587478293,0.6216529021227091,0.12684114133439417,0.20650499795951438
2020-05-05,"[68, 69]","[45, 61]","[68, 69]",22,0.021599198182285517,0.08087978974738394,0.030841401130493558,0.8676446448746105,0.8389189004890543,0.6716669497715047,0.028725744385556196,0.1959776951031058
2020-06-04,"[70, 71]",[],"[70, 71]",24,0.07254559199877544,0.006044130224813876,0.12440962805796005,1.0031340312803816,0.8500335657964819,0.8796384132293622,0.15310046548389966,0.12349561805101938
2020-07-06,[],[],[],24,0.10904230102306164,0.052007559915098034,0.10129480864351145,1.2215603753087958,0.9462492973145848,1.0700360266164242,0.27531107799421095,0.15152434869237164
2020-08-04,"[72, 73]","[48, 60]","[72, 73]",24,0.046559722254352565,0.03795208420899725,0.11066949240671276,1.3249956093544486,1.0201135145379698,1.2991258629456728,0.30488209481647877,0.025869746408775818
2020-09-02,[],"[58, 51, 4]","[58, 51, 4]",21,0.01380065541095722,-0.023102761216689853,-0.026846843674901352,1.3570820725911381,0.9734433143809911,1.237401590314248,0.38363875821014704,0.11968048227689021
2020-10-02,[74],"[64, 55, 65, 37]",[74],18,-0.010675525553757784,0.00608795043506688,-0.015435834048055798,1.331918982692887,0.9854575394653566,1.202865430667301,0.34646144322753036,0.129053552025586
2020-11-02,[],"[68, 63]","[68, 63]",16,0.1310899909362473,0.0844448894652384,0.1511521524222111,1.6376102209981607,1.1531192819234328,1.5358332820091443,0.48449093907472784,0.10177693898901641
2020-12-02,[75],[],[75],17,0.06027492004348128,0.013550392002832158,0.07204589615895012,1.7965919661746939,1.1822948922223517,1.7185296633211848,0.6142970739523421,0.07806230285350901
2021-01-04,[76],[62],[76],17,0.06123890980515603,0.03738042335167616,0.04760550211723975,1.9678522093530897,1.2638699991718236,1.8479466329642005,0.703982210181266,0.11990557638888921
2021-02-03,[],[],[],17,-0.07610499124710787,0.009527663604120534,-0.06028753090467304,1.7419838429375631,1.2854393909673933,1.6762509623145116,0.4565444519701698,0.06573288062305149
2021-03-05,[],[57],[57],16,0.03842234221627863,0.06038223253273631,0.04323661202990248,1.8473372845024167,1.423439323712262,1.7919629868667575,0.42389796079015474,0.055374297635659264
2021-04-06,"[77, 78]","[66, 72]","[77, 78]",16,-0.024412527136082985,0.024653489620057808,-0.025152361533209135,1.7778265857789206,1.4831855599242423,1.7217385244337464,0.29464102585467833,0.05608806134517419
2021-05-05,[79],[],[79],17,0.004317008755871843,0.00443760779096691,-0.007924099737055868,1.7898184874720222,1.4942049635113785,1.700171196907946,0.29561352396064366,0.08964729056407617
2021-06-04,[],[],[],17,0.02864410531728702,0.011255732729329697,0.011474537581155408,1.8697303420432854,1.5222790679528302,1.7311544127824194,0.3474512740904552,0.13857592926086593
2021-07-06,[80],[],[80],18,0.014365067720528406,0.00650632203946197,0.030374285686221705,1.9109542127463923,1.538689827842325,1.8141112771694576,0.3722643849040672,0.09684293557693469
2021-08-04,"[81, 82]",[9],"[81, 82]",19,0.02052812594875881,0.032186441157085105,0.03492602679985238,1.9707106474567206,1.6204012186022627,1.9123970030536448,0.3503094288544579,0.05831364440307585
2021-09-02,[],"[59, 70]","[59, 70]",17,-0.09304988634576236,-0.05417798395500641,-0.06206799304938056,1.6942863593447264,1.4784331634251502,1.7316303661110743,0.2158531959195762,-0.03734400676634797
2021-10-04,[83],[],[83],18,0.04680108321163548,0.04592755056968783,0.057625951223594485,1.8203818794443931,1.5922615278719503,1.8890431643494803,0.22812035157244281,-0.06866128490508716
2021-11-02,[84],[43],[84],18,-0.04090126816584505,-0.021609885799301093,-0.011320651166467851,1.7050246838631478,1.5362430522927157,1.8563373144810114,0.16878163157043202,-0.1513126306178636
2021-12-02,[85],[],[85],19,-0.034801712829747325,0.04076571306403962,0.010337097359691155,1.6108851916179643,1.6396348088231445,1.8858635513929207,-0.02874961720518021,-0.27497835977495644
2022-01-03,[86],[],[86],20,-0.050049771316551805,-0.03729123046314285,-0.09318871670555459,1.4802109848437137,1.5411995788287864,1.61693363045128,-0.060988593985072725,-0.1367226456075663
2022-02-02,[],[],[],20,-0.02445506640006121,-0.03862282986187171,-0.022769391854331293,1.4195572605231996,1.443051259850622,1.5573476431627573,-0.023493999327422355,-0.13779038263955767
2022-03-04,[],[],[],20,0.09946451422409061,0.04241787476398828,0.08390767497938187,1.6602173480785112,1.5466803022329696,1.7719287380145463,0.11353704584554158,-0.11171138993603513
2022-04-04,"[87, 88]",[76],"[87, 88]",21,-0.06208769715815505,-0.03278537302359505,-0.09441820470249401,1.4950505789961421,1.46318643855242,1.5102082030079633,0.0318641404437221,-0.015157624011821191
2022-05-04,[89],"[73, 83]",[89],20,0.031465209323324514,-0.023554830634904347,0.030252905913049043,1.5735578677365378,1.4051664991701243,1.5861492955957268,0.16839136856641357,-0.012591427859188986
2022-06-03,"[90, 91, 92]","[77, 75]","[90, 91, 92]",21,-0.12506718189984847,-0.087566107313996,-0.17835113452413798,1.251690237762546,1.1945554313957651,1.1249066346774286,0.05713480636678092,0.1267836030851175
2022-07-06,[],[],[],21,0.041116705288376784,0.06567577047438064,0.03567085433828336,1.3442723216693437,1.3386845502014189,1.200703869725459,0.005587771467924885,0.14356845194388468
2022-08-04,[93],[86],[93],21,0.02016994453282022,-0.0258406724850321,0.012189081945626125,1.3915561643672403,1.2782513686938595,1.2275284295315991,0.11330479567338081,0.16402773483564115
2022-09-02,[94],[79],[94],21,0.003930796883239394,-0.03359959369341939,-0.015456988298835916,1.4009568858842272,1.2017030483742692,1.193097548661005,0.19925383750995795,0.20785933722322225
2022-10-04,[],"[69, 81]","[69, 81]",19,0.021136608522105853,0.006371168479440612,0.015748982378289353,1.4517049716596166,1.2157304694371596,1.2276366033087363,0.23597450222245708,0.2240683683508804
2022-11-02,"[95, 96]",[67],"[95, 96]",20,0.02563277151608561,0.07731092639742956,0.0325595062167744,1.5145489650230188,1.3870306446763578,1.3001673511428815,0.127518320346661,0.21438161388013732
2022-12-02,[],[],[],20,-0.05834997822948871,-0.04231052532406889,-0.06310379808742783,1.3678250876569424,1.2860341241354503,1.1550180550490672,0.08179096352149218,0.21280703260787526
2023-01-04,[],[91],[91],19,-0.01928206278414927,0.07367264739475701,-0.025993462400174673,1.3221685356548578,1.4544523100952635,1.0990016742634516,-0.13228377444040573,0.22316686139140618
2023-02-03,[],[92],[92],18,0.03520375532535991,-0.035344005025928917,0.03138262036695645,1.4039175886083006,1.3677021353113537,1.1648738469564677,0.036215453296946976,0.23904374165183295
2023-03-07,[],"[87, 94]","[87, 94]",16,-0.023388363124226597,-0.0006337355081101738,-0.07667636476986507,1.3476938911252145,1.3662016383955784,0.9988791901864926,-0.01850774727036386,0.3488147009387219
